Datetime,Open,High,Low,Close,Volume
2020-03-13 11:40:00-04:00,141.89,142.01,141.53,141.76,299895
2020-03-13 11:42:00-04:00,141.77,141.89,141.39,141.89,261077
2020-03-13 11:44:00-04:00,141.89,142.22,141.43,141.94,339177
2020-03-13 11:46:00-04:00,141.94,142.19,141.1,141.38,300093
2020-03-13 11:48:00-04:00,141.36,141.49,140.73,140.87,295225
2020-03-13 11:50:00-04:00,140.84,141.66,140.81,141.65,352095
2020-03-13 11:52:00-04:00,141.65,142.08,141.35,142.02,421434
2020-03-13 11:54:00-04:00,142.0,143.58,141.78,143.27,492441
2020-03-13 11:56:00-04:00,143.29,145.11,143.23,144.9,684363
2020-03-13 11:58:00-04:00,144.89,145.05,144.28,144.37,505065
2020-03-13 12:00:00-04:00,144.33,144.89,144.19,144.23,450131
2020-03-13 12:02:00-04:00,144.27,144.34,143.17,143.53,342238
2020-03-13 12:04:00-04:00,143.53,143.73,142.91,142.92,291046
2020-03-13 12:06:00-04:00,142.9,143.19,142.45,142.54,254218
2020-03-13 12:08:00-04:00,142.54,143.39,142.4,142.94,289575
2020-03-13 12:10:00-04:00,142.88,143.89,142.46,143.46,272748
2020-03-13 12:12:00-04:00,143.43,143.51,142.96,142.99,188832
2020-03-13 12:14:00-04:00,143.02,143.87,142.97,143.64,206842
2020-03-13 12:16:00-04:00,143.67,144.1,143.3,143.39,276616
2020-03-13 12:18:00-04:00,143.42,143.83,143.31,143.41,196401
2020-03-13 12:20:00-04:00,143.45,143.69,143.08,143.44,190776
2020-03-13 12:22:00-04:00,143.47,143.56,142.85,143.1,195067
2020-03-13 12:24:00-04:00,143.07,143.2,142.41,143.06,155558
2020-03-13 12:26:00-04:00,143.09,143.25,142.63,143.17,190902
2020-03-13 12:28:00-04:00,143.14,143.59,143.01,143.1,226449
2020-03-13 12:30:00-04:00,143.08,143.74,143.0,143.64,160648
2020-03-13 12:32:00-04:00,143.65,145.3,143.48,145.29,390245
2020-03-13 12:34:00-04:00,145.31,145.47,144.21,144.49,269738
2020-03-13 12:36:00-04:00,144.46,144.79,144.09,144.12,184415
